source,target,source example,target example,source language,target language,source segment,url,comment
"ingarbugliarsi","tangle","Sono facili da conservare - sono piccoli e facili da trasportare e hanno pochi fili, così non rischiano di ingarbugliarsi","They are easy to store - they are small, easy to carry, and have few cables that could tangle","it","en","","","get tangled"
"inghiottire","swallow","Se non può respirare, dovrà inghiottire.","If he can't breathe, he'll have to swallow.","it","en","","","engulf, swallow up"
"inginocchiarsi","kneel","Nessuno a capo di tanti potrebbe inginocchiarsi così in fretta.","No one who leads so many could possibly kneel so quickly.","it","en","","","kneel down, bow down"
"ingombrare","clutter","Altra stupida letteratura per ingombrare il mondo.","More dim-witted fiction to clutter the world.","it","en","","",""
"innalzare","raise","Ma ci vuole tempo per innalzare la bandiera.","But it takes time to raise the banner.","it","en","","",""
"innalzarsi","rise","Stavano cominciando a innalzarsi nel cielo, sempre più alte.","They were beginning to rise, higher and higher, into the air.","it","en","","",""
"innamorato","in love","Ma credo che sia perdutamente innamorato.","But I believe that he was hopelessly in love.","it","en","","","loved, enamored"
"innegabile","undeniable","Non voglio insistere ma ti prometto che questa è davvero innegabile.","I don't want to talk about it, but this one, I promise you, it's really undeniable.","it","en","","","indisputable, unquestionable"
"inoltre","also","Vorrei inoltre intervenire sulle azioni esterne.","I would also like to say something about the external actions.","it","en","","","in addition, moreover"
"inquietante","disturbing","Ho appena sentito qualcosa di molto inquietante.","I have just heard something that is very disturbing.","it","en","","","creepy, unsettling"
"inquietante","unsettling","Ho sempre trovato quella sensazione inquietante.","I've always found that feeling unsettling.","it","en","","",""
"inquieto","restless","Ho sentito inquieto per molto tempo.","I've felt restless for a long time now.","it","en","","","troubled, uneasy"
"inquinamento","pollution","Ho un copione molto interessante sull'inquinamento.","Why don't you do one? I have a good script about pollution.","it","en","","","contamination, smog"
"insieme a","together with","Perché sono tornato insieme a te.","No, I'm the crazy one for getting back together with you.","it","en","","","coupled with, along with"
"insofferente","impatient","È insofferente solo perché vede sempre più avanti degli altri.","He's impatient only because he is already so far ahead of you.","it","en","","","intolerant, restless"
"insolito","unusual","Non penso che sia tanto insolito.","I don't think that's so unusual.","it","en","","",""
"insopportabile","unbearable","Senza l'arte culinaria, la realtà sarebbe insopportabile.","It is said, without the culinary arts the crudeness of reality would be unbearable.","it","en","","","insufferable, intolerable"
"insospettito","suspicious","Dovevamo fare qualcosa, altrimenti ti saresti insospettito.","We had to do something or you'd get suspicious.","it","en","","",""
"insulso","vapid","Tu sei sostanzialmente un insulso taglio di capelli ambulante.","You're basically a vapid walking haircut.","it","en","","","silly, bland"
"insuperabile","unsurpassed","Stiamo con una delle piattaforme più insuperabile del settore.","We're featuring one of the most unsurpassed platforms in the industry.","it","en","","","unbeatable, unsurpassable"
"intanto","meanwhile","Però intanto facevano di tutto per scaricarlo.","But, meanwhile, they did everything possible to get rid of him.","it","en","","","while, in the meantime"
"interagire","interact","Sappiamo che queste sostanze possono interagire in modo particolarmente negativo.","We know that these substances can interact in a particularly unfortunate way.","it","en","","","engage, interoperate"
"interferire","interfere","Quindi accettalo e smettila di interferire.","So accept it, and stop trying to interfere.","it","en","","",""
"interiore","inner","L'esame corretto dell'enunciazione autentica conduce al significato interiore.","The right examination of the authentic wording leads one to the inner meaning.","it","en","","","interior, internal"
"intero","entire","Trasmissione eccezionalmente uniforme nell'intero spettro visibile.","High-quality acrylic-glass plate of exceptionally uniform transmission over the entire visible spectral range.","it","en","","",""
"intervenire","intervene","Può anche intervenire nel trattamento complementare.","It can also intervene in complementary treatment to improve its well-being naturally.","it","en","","",""
"intervento","intervention","Fuld conta sul tuo diretto intervento.","Fuld's counting on direct intervention from you.","it","en","","","surgery, speech"
"intorno","around","Stanno accadendo molte cose qui intorno.","There's been a lot going on around here.","it","en","","","about, round"
"intrappolato","trapped","Ha intrappolato il campione in un angolo.","He's got the champion trapped in the corner.","it","en","","","caught, stuck"
"intricata","intricate","Pensa alla tua ch'è già così intricata.","Think about yours, already so intricate.","it","en","","https://classroom.italki.com/r/7643320968","tangled, complicated"
"intrufolarsi","sneak","Un browser hijacker può intrufolarsi nel vostro computer quando si installa il software libero.","A browser hijacker can sneak into your computer when you install free software.","it","en","","",""
"invidiare","envy","Comincio a invidiare il topo morto.","I'm starting to envy the dead mouse.","it","en","","","rival, begrudge"
"involucro","casing","Conservalo nell'involucro quando non in uso.","Store it in the casing when not in use.","it","en","","",""
"irrefrenabile","irrepressible","Per alcuni... è un bisogno irrefrenabile, quasi primitivo.","For some, it's an irrepressible, almost primal urge.","it","en","","",""
"irreprensibile","irreproachable","Premuroso, irreprensibile e innegabilmente corretto.","He's attentive and irreproachable and unimpeachably correct.","it","en","","",""
"isolato","isolated","L'impianto elettronico è completamente isolato.","The electronic system is completely isolated from other parts of the machine.","it","en","","","insulated, secluded"
"l'unica pecca","the only flaw","Forse l'unica pecca è il peso...","Perhaps the only flaw is the weight...","it","en","l'unica pecca","https://classroom.italki.com/r/6359326278","the only downside, the only con"
"laborioso","laborious","Ed è necessario aiutarli in questo compito laborioso.","And you need to help them with this laborious task.","it","en","","","hard-working, hardworking"
"lampo","flash","Sembrava un piccolo lampo di luce.","It looked like a little flash of light.","it","en","","","zipper, lightning"
"lanciare","launch","Stiamo per lanciare le prima testata alle coordinate preprogrammate.","We're about to launch the first warhead to the preprogrammed coordinates.","it","en","","","throw, cast"
"lanciarsi","launch","Possono lanciarsi da un'altezza di oltre 2000 metri.","They can launch from an altitude of 7000 feet.","it","en","","","embark, jump"
"lanciarsi in","embark on","Insieme al figlio del leader sono disposti a lanciarsi in avventure divertenti e non saranno annoiati.","Together with the son of the leader they are willing to embark on fun adventures and they will not be bored.","it","en","","","jump into, rush into"
"lancinante","excruciating","Il dolore sperimentato in meditazione è intermittente e lancinante.","The pain one experiences while sitting in meditation is intermittent and excruciating.","it","en","","","stabbing, throbbing"
"lasciare alle spalle","leave behind","Una volta varcata la soglia si puo lasciare alle spalle il mondo esterno.","Once we cross the threshold you can leave behind the outside world.","it","en","","","leave it behind"
"lattiginoso","milky","L'aspetto lattiginoso del prodotto scomparirà rapidamente per diventare trasparente.","The milky appearance of the product will quickly disappear to become transparent.","it","en","","",""
"lavastoviglie","dishwasher","No, mi riferivo alla lavastoviglie.","No, I just meant run the dishwasher.","it","en","","",""
"legare","tie","Può legare qualcuno ben bene con questa roba.","You could tie someone up pretty nice with this stuff.","it","en","","","bind, bond"
"leggeremente","slightly","L'involucro è liscio o leggeremente rugoso.","The surface is smooth or slightly wrinkled.","it","en","","",""
"leggermente","slightly","Questa percentuale era leggermente più elevata...","This proportion was slightly higher for women (14.7%)...","it","en","","","lightly, little"
"lentezza","slowness","Volevo sperimentare la lentezza del viaggio.","I wanted to experience the slowness of a journey.","it","en","","","sluggishness, delay"
"lettore","player","Garantisce un accesso immediato al lettore.","It also allows quick and convenient access to the player.","it","en","","",""
"lettura","reading","Stamattina cominciamo la terza lettura obbligatoria del semestre.","This morning, we begin our third required reading of the semester.","it","en","","","read, interpretation"
"lezioso","simpering","Non sono forse l'uomo che sopprimesti come un cane lezioso?","Am I not the man you snuffed out like a simpering dog?","it","en","","",""
"libricino","booklet","Ognuno di voi riceverà questo libricino.","Each one of you will receive this booklet.","it","en","un libricino","https://classroom.italki.com/r/8111385678","little book, small book"
"lieve","mild","Come infarto è stato piuttosto lieve.","As heart attacks go, this was pretty mild.","it","en","","","slight, light"
"limare","file","Utilizzabili anche su materiali difficili da limare.","Can also be used on materials that are difficult to file.","it","en","","",""
"lineamento","feature","Il suo colorito divenne pallido per la rabbia, e il tumulto del suo animo era visibile in ogni lineamento.","His complexion became pale with anger, and the disturbance of his mind was visible in every feature.","it","en","","","lineament, line"
"località","location","Ci accordammo per una località alternativa.","We had agreed to rendezvous at an alternative location.","it","en","","","resort, locality"
"logoro","worn","È un po' logoro, ma farà il suo dovere.","It's a little worn, but it will do the trick.","it","en","","",""
"lontananza","distance","Una vicinanza insieme a una lontananza.","A closeness and at the same time a distance.","it","en","","","remoteness, separation"
"lotta","fight","E gradirei quello la lotta finì là...","And I would like that the fight finished there...","it","en","","","struggle, fighting"
"lottare per","fight for","Dovrei lottare per la mia felicità.","I should fight for my right to be happy.","it","en","","","strive for, struggle for"
"lunga permanenza","long stay","Mi aspettavo una lunga permanenza o un viaggio molto breve.","I expected either a long stay or a very short trip.","it","en","","","extended stay, long period"
"lungo meno","less than","Un percorso ad anello privo di difficoltà, lungo meno di 10 km, da fare in city bike per raggiungere il centro storico dal lago.","An easy, short loop tour (less than 10 km) for hybrid bikes, from the city-centre to the lake.","it","en","","",""
"lutto","mourning","Portavo il lutto per mio marito.","I happen to have been wearing mourning for my husband.","it","en","","","grief, bereavement"
"lutto","tragedy","Non sarà qualche lutto il motivo per cui torna.","I hope it's not tragedy that brings you back.","it","en","","",""
"maestro","master","Pier, devi andare dal maestro.","Pier, you've got to go and see the master this afternoon.","it","en","","","teacher, maestro"
"maggioranza","majority","A maggioranza, per questioni interne.","By majority in the case of internal affairs.","it","en","","","bulk, mostly"
"malapena","hardly","Per il resto della giornata, potevo malapena parlare...","For the rest of that day, I could hardly talk.","it","en","","",""
"malconcio","battered","Lividi, malconcio... mai stato meglio.","Bruised, battered - never better.","it","en","","","banged up, beat-up"
"maledizioni","curses","Siamo troppo occupati per preoccuparci di maledizioni.","I mean, we're far too busy to worry about curses.","it","en","","https://classroom.italki.com/r/8111385678","curse, hex"
"malgrado","despite","È visibilmente felice, malgrado le sventure incombenti.","She is in visible high spirits, despite the impending troubles.","it","en","","","although, even though"
"malinteso","misunderstanding","È stato tutto un enorme malinteso.","It turns out it was a huge misunderstanding.","it","en","","https://classroom.italki.com/r/3113385678","misconception, mistake"
"manchevole","deficient","Chi ha una grande immaginazione, ignora quanti pence sono contenuti in uno scellino, ed è manchevole sotto questo aspetto.","If you have a great imagination, ignore those who are content pence in a shilling, and is deficient in this respect.","it","en","","","defective, faulty"
"mancia","tip","Ti abbiamo davvero dato poca mancia.","Man, we really screwed you on the tip.","it","en","","","tipping, gratuity"
"manciata","handful","Abbiamo solo una manciata di guerrieri.","We have no more than a handful of fighters.","it","en","","","matter, fistful"
"maniche","sleeves","Sarebbe delizioso con un piccolo fiore sulle maniche.","This would look very pretty with a little flower sewn on the sleeves.","it","en","","","sleeve, sleeved"
"manna","manna","Non come una manna caduta dal cielo.","They don't drop like manna from heaven.","it","en","","","godsend, boon"
"mano a mano","gradually","Cresceranno o invecchieranno mano a mano che la storia va avanti.","They will grow up and get older gradually as the story goes on.","it","en","","","hand to hand, little by little"
"marea","tide","Obbligherò tutti ad insorgere contro la marea.","I won't force everybody to go against the tide.","it","en","","",""
"massiccio","massive","Era un animale quadrupede dall'aspetto massiccio.","It was a quadruped animal of a massive aspect.","it","en","","",""
"matita","pencil","Un momento, prendo una matita.","Just a second, I'll get a pencil.","it","en","","",""
"matrigna","stepmother","Stai per avere una vera matrigna cattiva.","You're about to have an actual wicked stepmother.","it","en","","","stepmom, step-mother"
"membra","limb","E fate di queste membra un solo corpo.","And learn to make a body of a limb.","it","en","","",""
"memorabile","memorable","Credo che sarà una serata memorabile.","I think it's going to be a memorable evening.","it","en","","","unforgettable, momentous"
"mendicante","beggar","Sono certa che farà la mendicante spensierata.","I'm sure she'll make a carefree beggar.","it","en","","","beggarman, panhandler"
"mensola","shelf","Borsa e portafoglio sono ancora sulla mensola.","Handbag and wallet were still up on the shelf.","it","en","una mensola","https://classroom.italki.com/r/7110385678","cantilever, mantel"
"menzionato","mentioned","Ha menzionato alcune vittime per nome.","She mentioned some of the victims by name.","it","en","","","referred, aforementioned"
"merce","goods","Non mi interessa la merce danneggiata.","What? I'm not interested in damaged goods.","it","en","","","merchandise, commodity"
"mestiere","craft","Visionari con i piedi saldamente mestiere.","Visionaries with their feet firmly planted... in the craft.","it","en","","",""
"metodico","methodical","Però come regista, era metodico.","But as a filmmaker, he was methodical.","it","en","","",""
"mettere al riparo","get","Dovete mettere al riparo i vostri uomini.","You've got to get your men under cover.","it","en","","","put away, to shield"
"mettere la spunta alle voci","tick off the entries","","","it","en","","",""
"mettiamo che","let's say","Okay... mettiamo che io sia il secondo tiratore.","Okay... let's say I'm the second shooter.","it","en","","","say you, suppose"
"mezzi migliori","best means","Scegliamo i mezzi migliori per raggiungere insieme mete sempre nuove e ambiziose.","We choose the best means always to achieve new and ambitious goals together.","it","en","","",""
"mi dispiace per lui","I feel sorry for him","E allo stesso tempo quasi mi dispiace per lui.","And somehow I feel sorry for him at the same time.","it","en","","","I feel bad for him, I'm sorry for him"
"mi rendo conto","I realize","Ma mi rendo conto che questo riferimento è sprecato con te.","I realize that reference is lost on you.","it","en","","","I realise, I know"
"micino","kitty","Inoltre ho un micino... gli animali non sono ammessi nei parchi nazionali.","Additionally I have a kitty... pets are not allowed in national parks.","it","en","","https://classroom.italki.com/r/4358326278","kitten, meow"
"micio","cat","Ho la tua roba qui, compreso il micio.","I got most of your stuff here, including cat.","it","en","","https://classroom.italki.com/r/4358326278","kitty, kitten"
"migrare","migrate","Ad esempio, selezionate i pennelli che desiderate migrare.","For example, select the brushes that you want to migrate.","it","en","","","switch, emigrate"
"minacciare","threaten","Non potremo ricattarci o minacciare di rivolgerci alla polizia.","We can't blackmail each other or threaten to go to the authorities.","it","en","","","threat, intimidate"
"minaccioso","threatening","Sei adorabile quando fai il minaccioso.","You're adorable when you get all threatening.","it","en","","",""
"minestra","soup","È un delitto chiamare minestra questa ambrosia.","It's sheer understatement to call this ambrosia soup.","it","en","","https://classroom.italki.com/r/2122345678","pottage, porridge"
"mingherlino","skinny","Per esempio, so che ti adorerebbe... mingherlino, passivo.","For example, I know she'd love you - skinny, submissive.","it","en","","","scrawny, weak"
"minore","minor","Stanno contribuendo alla sparizione di un minore.","They're contributing to the delinquency of a minor.","it","en","","","little, lower"
"mirare","aim","Per vincere il torneo dovrete mirare accuratamente.","To win the tournament you will need to aim carefully.","it","en","","",""
"misfatto","crime","Vedo che soffre per il suo misfatto.","I see that you suffer because of his crime.","it","en","","","wrongdoing, misdeed"
"mite","mild","Clima mite mediterraneo e natura particolarmente dolce del territorio.","The mild mediterranean climate and nature, particularly the sweet of the territory.","it","en","","","meek, milder"
"mitico","mythical","La magia di questo mitico evento colpirà ancora...","The wonder of this mythical event will strike once more...","it","en","","",""
"momentaneo","momentary","Questa è solo un momentaneo attacco d'impazienza nel grande piano.","That is a momentary attack of impatience in the general plan.","it","en","","","temporary, fleeting"
"mordere","bite","Ti possono mordere tante cose lì.","So many things can bite you up there.","it","en","","https://classroom.italki.com/r/8516340088","snap, gnaw"
"mortale","mortal","Rimarremo bloccati per sempre in questo livello mortale.","We'll be stuck on this mortal plane for ever.","it","en","","","deadly, fatal"
"mucchio","bunch","Siete stati un amorevole mucchio nell'insieme.","You've been a lovely bunch on the whole.","it","en","","","pile, heap"
"multa","fine","Ordino che paghiate la multa originale.","I order you to pay the original fine.","it","en","","","penalty, citation"
"mutevole","changing","Da monumento a soggetto dinamico e mutevole.","From a monument to a dynamic and changing subject.","it","en","","","changeable, ever-changing"
"muto","silent","Sarà un richiamo muto e inappellabile.","It will be a silent reminder and final.","it","en","","","mute, dumb"
"nebbia","fog","Sono tornato indietro per la nebbia.","Okay, I came back because of the fog.","it","en","","","mist, haze"
"negare","deny","Potremmo confermare o negare certe dicerie.","We can either confirm or deny certain rumours.","it","en","","",""
"nei confronti di","against","Ho sempre saputo che avrebbero cercato vendetta nei confronti di mio padre.","I always thought they would seek revenge against my father.","it","en","","","towards, toward"
"nei dintorni","around","Sai sempre quando sono nei dintorni.","You always seem to know when I'm around.","it","en","","","nearby, near"
"nel mezzo","in the middle","Un bel galletto nel mezzo del cortile.","A handsome cockerel in the middle of the courtyard.","it","en","","","in-between, in the midst"
"nel tentativo di","in an attempt to","La perseguiterà nel tentativo di riconquistarla.","He will stalk her in an attempt to win her back.","it","en","","","in an effort to, in a bid to"
"nessuna delle due","neither","Credo ancora che senza una pacifica coesistenza tra le nostre specie... nessuna delle due sopravviverà.","I still believe that without peaceful coexistence between our species, neither species will survive.","it","en","","",""
"niente di che","no big deal","È uscito dal retro, niente di che.","He slipped out the back, no big deal.","it","en","","https://classroom.italki.com/r/8114385678","not a big deal, no biggie"
"nitida","clear","I pixel si stanno riempiendo e la risoluzione adesso è molto più nitida.","Pixels are filling in and the resolution is super clear.","it","en","","","sharp, crisp"
"non appena","as soon as","Voglio vedere il discorso non appena è pronto.","I want to see the statement as soon as it's issued.","it","en","","","once, moment"
"non c'entra","isn't about","Qui non c'entra la vendita di armi.","This isn't about selling weapons.","it","en","","",""
"non c’entra","isn't about","Qui non c'entra la vendita di armi.","This isn't about selling weapons.","it","en","","","has nothing to do with, it's not about"
"non è altro che","is nothing but","","","it","en","","",""
"non è altro che","is nothing but","Questo non è altro che slealtà e tradimento.","That is nothing but a disloyalty and a treason.","it","en","","","is nothing more than, is none other than"
"non me ne intendo","I'm no expert","Bene, guarda qui... non me ne intendo, ma non sono modelli terribili?","Look at this. I'm no expert, but aren't these designs terrible?","it","en","non me ne intendo","https://classroom.italki.com/r/3113385678","I do not understand, not really my thing"
"non riguarda","does not concern","Tale informazione non riguarda però lo Stato del Gujarat.","However, this information does not concern the State of Gujarat.","it","en","","","is not about, it's not about"
"non sono il tipo da","I'm not one to","Sai che non sono il tipo da parlare di argomenti inappropriati.","Well, you know I'm not one to speak out of turn.","it","en","non sono il tipo da Dubai","https://classroom.italki.com/r/6359326278","I'm not much for, I'm not one for"
"non ti ci vedo","I don't see you","Hai ragione, cara, ma in questa parte non ti ci vedo.","I agree, darling, but I don't see you in this part.","it","en","","https://classroom.italki.com/r/4120345678","I can't picture you, I can't imagine you"
"notare","closer look","Iniziare a notare i piccoli dettagli.","To make a closer look on the tiny details.","it","en","","",""
"notevolmente","greatly","Annunceremo che tutti i prezzi saranno notevolmente ridotti.","We will announce that the price of everything is to be greatly reduced.","it","en","","",""
"nozze","wedding","Dovevo essere bella ubriaca alle sue nozze.","You know, I must have been pretty ploughed at your wedding.","it","en","","",""
"nube","cloud","Degustalo aggiungendo una nube di latte.","Find more pleasure with a cloud of milk.","it","en","","",""
"nulla","nothing","400 anni, nulla è cambiato.","Four hundred years later, nothing has changed.","it","en","","","anything, nowhere"
"nulla di più","nothing more","A fare due chiacchiere, nulla di più.","Just to chat, nothing more.","it","en","","","anything more, anything further"
"obbrobrio","reproach","Ž 69:10 - Io ho pianto, ho afflitto l'anima mia col digiuno, ma questo è divenuto un motivo d'obbrobrio.","Ž 69:10 - When I wept, and chastened my soul with fasting, that was to my reproach.","it","en","","",""
"oblio","oblivion","Allora getterò i tuoi videogiochi nell'oblio.","Then I will smash your video games into oblivion.","it","en","","",""
"occultare","hide","Bisogna complicarla eccessivamente per occultare le sue debolezze.","It's necessary to overly complicate it in order to hide its weaknesses.","it","en","","",""
"occuparsi","deal with","Dunque una sezione distinta dell'Agenzia deve occuparsi delle minoranze nazionali tradizionali.","Therefore, a separate section of the Agency must deal with traditional national minorities.","it","en","","",""
"oggetto","subject","Sono già oggetto di curiosità e...","I am already the subject of speculation and...","it","en","","","object, item"
"oggigiorno","nowadays","Sai, possono fare miracoli oggigiorno.","You know, they can do marvels nowadays.","it","en","","","these days, now"
"oltre","over","Contiene oltre 25.000 parole raggruppati in oltre 70 categorie.","Contains over 25,000 words grouped in over 70 categories.","it","en","","","in addition, more than"
"oltre a","in addition to","Di giorno lavoro oltre a questo.","I got a day job in addition to this.","it","en","","","as well as, besides"
"oltre quello","beyond that","La scoperta che ho fatto è ben oltre quello.","This breakthrough I've made is way beyond that.","it","en","","","besides the one, beside that"
"oltrepassare","cross","Puoi lasciarle oltrepassare la soglia, allora.","You can let her cross the threshold, so.","it","en","","","go beyond, pass"
"omaggio","tribute","Consideralo un omaggio alla tua popolarità.","Consider it a tribute to your bully pulpit.","it","en","Chi dimostrerà di essere arrivato in treno o in bicicletta a CopenHill, una pista di sci, avrà diritto a una discesa della pista in omaggio","https://www.bookingblog.com/copenaghen-e-lapproccio-soft-allovertourism-premi-ai-turisti-virtuosi/","homage, gift"
"ombra","shadow","Viviamo costantemente sotto l'ombra di questa eventualità.","It's been a danger that looms like a shadow over everything we've built.","it","en","","","shade, dark"
"onda","wave","Diciamo che io sono un'onda grossa.","Okay, let's say I'm a big wave, you know...","it","en","","","wake, tide"
"onirico","dreamlike","Momenti di oblio che invitano all'abbandono onirico.","Moments of sweet oblivion offer an invitation to dreamlike surrender.","it","en","","","dream, oneiric"
"opera","work","È opera di un impiegato scontento.","It's the work of a disgruntled employee.","it","en","","","opus, artwork"
"opprimente","oppressive","Era una sensazione travolgente, opprimente e morbosa.","It was an overwhelming, oppressive, and morbid feeling.","it","en","","","overwhelming, overpowering"
"ora come allora","now as then","Naturalmente, la partecipazione alla missione apostolica, ora come allora, comporta sostanzialmente lo stesso impegno.","Participation in the apostolic mission, now as then, entails substantially the same thing.","it","en","","","then and now, then as now"
"orgoglioso","proud","Eri orgoglioso, mi sfuggivi sempre.","You were proud, you always ran from me.","it","en","","https://classroom.italki.com/r/4358326278","prideful, orgulous"
"orizzonte","horizon","Sembrava usare una sorta di orizzonte degli eventi interdimensionale.","It seemed to be using some sort of inter-dimensional event horizon.","it","en","","","skyline, view"
"orlo","hem","Devo accorciare l'orlo a questo.","I need to shorten the hem on this.","it","en","","",""
"osare","dare","Allontana da me la tentazione di osare l'impossibile.","Keep me from the temptation to dare the impossible.","it","en","","","venture, take risks"
"ospita","hosts","Santiago inoltre ospita parecchie universitÓ che attraggono moltissimi studenti.","Santiago also hosts several universities that attract international students in large numbers.","it","en","","","houses, features"
"ospitare","accommodate","Qui possiamo ospitare comodamente fino a 300 persone.","We can accommodate up to 300 people here very comfortably.","it","en","","","host, house"
"ospite","guest","Sarai trattato da ospite d'onore.","You will be treated as an honored guest.","it","en","","","host, visitor"
"ossatura","backbone","Diceva che l'agricoltura era l'ossatura della nostra nazione.","He said agriculture was the backbone of our nation.","it","en","","",""
"osservare","observe","Ultimamente non abbiamo avuto modo di osservare la somiglianza.","We haven't had much opportunity to observe the resemblance lately, my boy.","it","en","","","see, watch"
"ossia","that is","Colori e taglie disponibili, ossia potenzialmente acquistabili.","Available colours and sizes, that is, most likely accessible.","it","en","","","namely, ie"
"ostacolare","hinder","Queste sostanze possono ostacolare la crescita della piantina.","These substances can hinder the growth of the very sensitive seedling.","it","en","","","hamper, obstruct"
"ostacolo","obstacle","Qualunque sia l'ostacolo, dovete superarlo.","Whatever that obstacle is, you need to push through it.","it","en","","","barrier, hurdle"
"ostinato","stubborn","Era anche molto ostinato su questo.","She's real stubborn about it, too.","it","en","","","obstinate, persistent"
"ottone","brass","Questa larghezza farà pressione sulle placche d'ottone.","A span this wide will put tremendous pressure on the brass plates.","it","en","","","laiton, brassy"
"ovunque","everywhere","Presi a portarmi omogeneizzati ovunque andassi.","I took to carrying jars of baby food everywhere I went.","it","en","","https://classroom.italki.com/r/2122345678","anywhere, wherever"
"padella","pan","Terza bambolina in versione giallo/arancio con padella e mestolo...","Third doll in yellow/ orange version with a pan and ladle...","it","en","","",""
"padrona","mistress","Stavo solo portando questo alla mia padrona.","I'm just taking this up to my mistress.","it","en","","https://classroom.italki.com/r/4358326278","landlady, owner"
"padronanza","mastery","Non si può insegnare senza padronanza della lingua.","It's not possible to educate without the mastery of spoken and written language.","it","en","","","command, mastering"
"padroni di casa","hosts","Ho il forte presentimento che i padroni di casa siano inclini alle stranezze.","I have a strong suspicion our hosts are inclined to whimsy.","it","en","","","landlords, owners"
"paesaggio","landscape","Riesce ad attraversare ogni paesaggio immaginabile.","He manages to climb in and out of every imaginable landscape.","it","en","","","scenery, countryside"
"paesaggio per intero","whole landscape","","","it","en","","",""
"pagamento","payment","Prendo ora il resto del pagamento.","I'll take the rest of my payment now.","it","en","","","pay, fee"
"panchina","bench","Passata su questa bella panchina con te.","Sitting here on this very nice bench with you.","it","en","","","dugout, coach"
"paragonare","compare","Non sono qui per paragonare tragedie.","I didn't come here to compare tragedies.","it","en","","","be compared, liken"
"parere","opinion","Vorrei chiedere il parere del relatore.","I would like to hear the rapporteur's opinion.","it","en","","",""
"parere","opinion","Penso dovremmo sentire un secondo parere.","Rufus... I think we need a second opinion.","it","en","","","view, advice"
"parete","wall","Stavo guardando queste foto alla parete.","I was looking at the pictures on your wall.","it","en","","","face, wall-mounted"
"partecipare","participate","Pensiamo solo come possiamo far partecipare al meglio.","Just think how we can to participate to the fullest.","it","en","","","take part, attend"
"partita","game","Tornerà prima che inizi la partita.","He'll be back before the game starts.","it","en","","","match, consignment"
"parzialmente","partially","Questi peli sembrano danneggiati e parzialmente sciolti.","This hair looks like it's been damaged and partially dissolved.","it","en","","",""
"passare a","switch to","Cerchi di passare a pick-up esterni.","See if you can switch to external pickups.","it","en","","","move to, move on to"
"passeggiare","walk","Una madre può passeggiare col figlio tranquillamente.","A mother can walk with her son without fear.","it","en","","","stroll, wander"
"passo","step","È possibile installare seguendo le istruzioni passo passo.","You can install following the step by step direction.","it","en","","","pass, pace"
"pazzo","crazy","Chiamami pazzo, ma non credo stesse fingendo.","Call me crazy, but I don't think she was faking.","it","en","","","mad, fool"
"peli","hair","Questi peli sembrano danneggiati e parzialmente sciolti.","This hair looks like it's been damaged and partially dissolved.","it","en","i peli","https://classroom.italki.com/r/8111385678","fur, dander"
"pelle","skin","Non abbiamo trovato strisce di pelle.","We didn't find any strips of skin.","it","en","","","leather, hide"
"pellegrino","pilgrim","Verrò fra voi come pellegrino di pace.","I will be coming among you as a pilgrim of peace.","it","en","","","peregrine, pilgrimage"
"pellegrino","pilgrim's","Il nome del padre pellegrino era Chuck Langston.","The pilgrim's name was Chuck Langston.","it","en","","",""
"peloso","hairy","Consideralo semplicemente un piccione peloso senza ali.","Think of it as a hairy pigeon without wings.","it","en","","","furry, fuzzy"
"penombra","twilight","Ha tutte le funzioni panoramica, ritratto in penombra.","It has all the functions - landscape, twilight portrait.","it","en","","",""
"penultima","penultimate","Giungo alla mia quarta e penultima osservazione.","I now come to my fourth and penultimate comment.","it","en","","","second to last, second-to-last"
"penuria","shortage","In tutto il paese si sta verificando una penuria di ripieno.","All over the country people are reporting a shortage of stuffing.","it","en","","","scarcity, lack"
"per certi versi","in some ways","E per certi versi più veloce.","And in some ways, much faster.","it","en","","",""
"per conto mio","on my own","Sto bene... per conto mio.","I'm fine on my own. I don't need any help.","it","en","","",""
"per di più","moreover","Un'operazione di grande abilità linguistica, per di più aperta a infiniti sviluppi.","An operation of a great linguistic ability, opened moreover to infinite developments.","it","en","","",""
"per forza","necessarily","Non la vedo per forza in quel modo.","I don't necessarily see that.","it","en","","","of course, inevitably"
"per intero","in full","Utilizzando, accetti per intero questi termini.","By using, you accept these terms of use in full.","it","en","","","whole, entirely"
"per niente","at all","Ancora non abbiamo legato per niente.","We haven't done any bonding at all yet.","it","en","","","for nothing, not at all"
"per prima cosa","first","Bene, per prima cosa, penso che potremmo ingrassarti un pochino.","Well, first, I think we ought to fatten you up a little.","it","en","","","first of all, firstly"
"per quanto","as far as","Ha funzionato per quanto interessasse loro.","It worked as far as they were concerned.","it","en","","","however, how long"
"per quanto","by how","Non ti infastidire per quanto sia disgustoso.","Don't be bothered by how disgusting it is.","it","en","","",""
"Per quanto riguarda","Regarding","Per quanto riguarda tua sorella, lascia perdere.","Regarding your sister, forget it.","it","en","","",""
"per quanto riguarda","regarding","Abbiamo... abbiamo qualche problema per quanto riguarda la contea.","We... We have some problems regarding the earldom.","it","en","","","regarding, for"
"per sentito dire","by hearsay","La mia famiglia soffre di alcol non per sentito dire.","My family is suffering from alcohol not by hearsay.","it","en","","","by word of mouth"
"per strada","in the street","Sono così sofisticati, li potresti indossare per strada.","They're so sophisticated, like you can wear them in the street.","it","en","","","on the road, down the street"
